
2025-12-27 22:03:32,249 | INFO | __main__ | Discovered 115 URLs, 115 new
2025-12-27 22:03:32,249 | INFO | __main__ | Crawling 100 URLs
2025-12-27 22:03:32,808 | INFO | crawler.core_engine | Crawling 100 URLs
2025-12-27 22:03:34,353 | INFO | __main__ | ✓ Crawled: Google News... (score: 0.00)
2025-12-27 22:06:40,553 | INFO | __main__ | ✓ Crawled: playlists | TechCrunch... (score: 0.00)
2025-12-27 22:06:42,714 | INFO | __main__ | ✓ Crawled: red | TechCrunch... (score: 0.00)
2025-12-27 22:06:44,264 | INFO | __main__ | ✓ Crawled: Company News: Latest Company News, Indian Company ... (score: 0.00)
2025-12-27 22:06:47,251 | INFO | __main__ | ✓ Crawled: semiotics | TechCrunch... (score: 0.00)
2025-12-27 22:06:49,858 | INFO | __main__ | ✓ Crawled: networking | TechCrunch... (score: 0.00)
2025-12-27 22:06:49,906 | INFO | __main__ | Session 20251227_220153 completed: 6 successful, 0 failed, 94 duplicates, duration: 0:04:56.835112
2025-12-27 22:13:19,003 | INFO | __main__ | Started session: 20251227_221319 (mode: deep_crawl)
2025-12-27 22:13:19,004 | INFO | __main__ | Starting deep crawl from 3 seeds
2025-12-27 22:13:19,526 | INFO | __main__ | Deep crawling: https://timesofindia.indiatimes.com/
2025-12-27 22:13:19,526 | INFO | crawler.core_engine | Starting deep crawl from: https://timesofindia.indiatimes.com/
2025-12-27 22:13:21,293 | INFO | __main__ | ✓ [0] TOI - Breaking News,  Latest News, India News, Wor...
2025-12-27 22:13:24,050 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com "HTTP/1.1 200 OK"
2025-12-27 22:13:25,249 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/games "HTTP/1.1 200 OK"
2025-12-27 22:13:25,708 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/videos "HTTP/1.1 200 OK"
2025-12-27 22:13:26,202 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city "HTTP/1.1 200 OK"
2025-12-27 22:14:14,407 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/india "HTTP/1.1 200 OK"
2025-12-27 22:14:36,538 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/business "HTTP/1.1 200 OK"
2025-12-27 22:14:38,389 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/sports "HTTP/1.1 200 OK"
2025-12-27 22:14:39,566 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/astrology "HTTP/1.1 200 OK"
2025-12-27 22:14:40,271 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/tv/hindi "HTTP/1.1 200 OK"
2025-12-27 22:14:41,857 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/web-series/news "HTTP/1.1 200 OK"
2025-12-27 22:14:44,922 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/toi/firststepbypronamel "HTTP/1.1 200 OK"
2025-12-27 22:14:48,482 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/games/loop-a-loop/today "HTTP/1.1 200 OK"
2025-12-27 22:14:49,003 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/games/location-guesser/today "HTTP/1.1 200 OK"
2025-12-27 22:14:56,528 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/topic/Elon-Musk "HTTP/1.1 200 OK"
2025-12-27 22:14:59,459 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/life-style/fashion "HTTP/1.1 200 OK"
2025-12-27 22:15:04,805 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews "HTTP/1.1 200 OK"
2025-12-27 22:15:05,465 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/entertainment/music "HTTP/1.1 200 OK"
2025-12-27 22:15:06,926 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/entertainment/latest-new-movies "HTTP/1.1 200 OK"
2025-12-27 22:15:08,818 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/entertainment/tamil/kollywood/top-20-best-tamil-movies-of-2025 "HTTP/1.1 200 OK"
2025-12-27 22:15:10,173 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/entertainment/malayalam/mollywood/top-20-best-malayalam-movies-of-2025 "HTTP/1.1 200 OK"
2025-12-27 22:15:10,795 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/entertainment/kannada/movies/top-20-best-kannada-movies-of-2025 "HTTP/1.1 200 OK"
2025-12-27 22:15:18,875 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news "HTTP/1.1 200 OK"
2025-12-27 22:15:20,167 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/travel "HTTP/1.1 301 Moved Permanently"
2025-12-27 22:15:20,718 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/travel/ "HTTP/1.1 200 OK"
2025-12-27 22:15:21,321 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/travel/ "HTTP/1.1 200 OK"
2025-12-27 22:15:22,598 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/business/gold-rates-today/gold-price-in-delhi "HTTP/1.1 200 OK"
2025-12-27 22:15:23,851 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/business/markets "HTTP/1.1 200 OK"
2025-12-27 22:15:24,348 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/business/platinum-rates-today "HTTP/1.1 200 OK"
2025-12-27 22:15:24,823 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/business/silver-rates-today "HTTP/1.1 200 OK"
2025-12-27 22:15:30,766 | INFO | __main__ | ✓ [1] TOI - Breaking News,  Latest News, India News, Wor...
2025-12-27 22:15:32,742 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/weather "HTTP/1.1 200 OK"
2025-12-27 22:15:33,806 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/games "HTTP/1.1 200 OK"
2025-12-27 22:15:34,282 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/videos "HTTP/1.1 200 OK"
2025-12-27 22:15:35,481 | INFO | httpx | HTTP Request: GET https://timesofindia.indiatimes.com/city/delhi "HTTP/1.1 200 OK"
